Project,Region,exact_allocated_emissions_kgco2,matched_input_share
i-042630a30dea1cade,eu-4.platform.sh,3.748803643758663e-06,5.865114664786213e-11
i-0544213bd9cb9099b,ca-1.platform.sh,3.7452783441124734e-06,5.859599228765162e-11
i-027205bafc9a4604f,eu-4.platform.sh,3.7407659605653488e-06,5.852539470658215e-11
i-0b9b87709f8116f3f,eu-4.platform.sh,3.725536666093808e-06,5.828712787047273e-11
i-098d9913b00a4e0c0,eu-3.platform.sh,3.701282604528019e-06,5.790766587222438e-11
i-03241409f9dcbc4e5,eu-4.platform.sh,3.700154508641239e-06,5.789001647695702e-11
i-09039db5283b8211f,eu-4.platform.sh,3.700154508641239e-06,5.789001647695702e-11
i-09ad877f1fdf6328e,eu-4.platform.sh,3.6973342689242865e-06,5.784589298878861e-11
i-05ca8d0306b5534a4,eu-3.platform.sh,3.69592414906581e-06,5.7823831244704396e-11
i-067fb2b38b2396106,eu-3.platform.sh,3.6888735497734296e-06,5.771352252428337e-11
i-03ce173def31bc407,eu-4.platform.sh,3.6888735497734296e-06,5.771352252428337e-11
i-01060efa25d8fc6da,eu-3.platform.sh,3.6874634299149536e-06,5.769146078019916e-11
i-0e4a9da5653ba8661,eu-4.platform.sh,3.6790027107640967e-06,5.7559090315693924e-11
i-03492a49a8af5ab16,eu-3.platform.sh,3.674772351188669e-06,5.7492905083441305e-11
i-0bd70f4eb2766eb0d,eu-3.platform.sh,3.6578509128869557e-06,5.722816415443083e-11
i-00ff888106e651a02,eu-4.platform.sh,3.657709900901108e-06,5.7225957980022404e-11
i-099ab01276431a68b,eu-3.platform.sh,3.6562997810426324e-06,5.7203896235938206e-11
i-0a43332a0fe089960,eu-3.platform.sh,3.649390193736099e-06,5.709579368992559e-11
i-08b7ddda84d4f4b99,eu-4.platform.sh,3.645159834160671e-06,5.7029608457672973e-11
i-064985787c20bda32,eu-3.platform.sh,3.643749714302195e-06,5.7007546713588776e-11
i-03c753eb5e5081dd8,eu-3.platform.sh,3.639519354726767e-06,5.694136148133615e-11
i-0dcbd96f89491a619,eu-3.platform.sh,3.6366991150098143e-06,5.689723799316774e-11
i-07ae9616cbd138182,eu-4.platform.sh,3.6324687554343867e-06,5.683105276091512e-11
i-01eff57ad04ab7ee2,eu-3.platform.sh,3.6317636955051487e-06,5.682002188887302e-11
i-0570806de207424fd,eu-4.platform.sh,3.6310586355759102e-06,5.680899101683091e-11
i-0dfc66554e69d9050,eu-3.platform.sh,3.6282383958589586e-06,5.676486752866251e-11
i-06e09fddd3acc75b8,eu-3.platform.sh,3.6254181561420058e-06,5.6720744040494086e-11
i-013d5d7bda66f3f8e,eu-3.platform.sh,3.6213288085524254e-06,5.665676498264989e-11
i-012516e56e63237fe,eu-4.platform.sh,3.619777676708102e-06,5.663249706415727e-11
i-010c3b1f4b75ae5d7,eu-3.platform.sh,3.614137197274197e-06,5.654425008782044e-11
i-0c6c509caba7f32d1,eu-3.platform.sh,3.6070865979818168e-06,5.64339413673994e-11
i-0087a1ff6ac56de45,eu-4.platform.sh,3.60511243017995e-06,5.640305492568152e-11
i-033fb923816d44a0f,eu-2.platform.sh,3.6042663582648656e-06,5.6389817879231e-11
i-0ce6e55be098e527d,eu-2.platform.sh,3.6028562384063887e-06,5.636775613514679e-11
i-07896c45c8ac95b7c,eu-2.platform.sh,3.6000359986894367e-06,5.6323632646978375e-11
i-0fe6187289a64724b,eu-3.platform.sh,3.597215758972484e-06,5.627950915880996e-11
i-0a57a547406c7fd6b,eu-2.platform.sh,3.584524680246199e-06,5.608095346205211e-11
i-0ef6feac26d35a9b7,eu-3.platform.sh,3.581704440529247e-06,5.603682997388369e-11
i-071f27dfb1b03d316,eu-3.platform.sh,3.5746538412368673e-06,5.592652125346266e-11
i-071f6591f7c0a3a36,eu-3.platform.sh,3.570423481661439e-06,5.586033602121005e-11
i-0da28ab88680fa453,eu-3.platform.sh,3.5619627625105827e-06,5.572796555670481e-11
i-06d8a7d6356cacffb,eu-3.platform.sh,3.553502043359726e-06,5.559559509219957e-11
i-09798432cdc2ca922,eu-3.platform.sh,3.5464514440673454e-06,5.548528637177854e-11
i-0b0d32c4d3f248b0c,eu-3.platform.sh,3.5422210844919173e-06,5.541910113952592e-11
i-03c51f59660367adf,eu-3.platform.sh,3.537990724916489e-06,5.5352915907273303e-11
i-043336f0a1c04a638,eu-3.platform.sh,3.5351704851995364e-06,5.530879241910489e-11
i-060fe430f1fd0c40f,eu-4.platform.sh,3.5337603653410604e-06,5.5286730675020684e-11
i-036291b3d0b2199cd,au.platform.sh,3.530940125624109e-06,5.5242607186852275e-11
i-0e9b5c77cb0bf1e08,eu-3.platform.sh,3.529530005765633e-06,5.522054544276807e-11
i-035e21efde3791163,eu-2.platform.sh,3.5252996461902044e-06,5.515436021051546e-11
i-098399462563bc2b2,eu-3.platform.sh,3.521069286614776e-06,5.508817497826283e-11
i-032d4de5ff610bbac,eu-3.platform.sh,3.516838927039348e-06,5.502198974601022e-11
i-049690a0bd55f6f67,eu-3.platform.sh,3.514018687322396e-06,5.49778662578418e-11
i-0b769b783ca6f76c9,eu-3.platform.sh,3.5126085674639194e-06,5.495580451375759e-11
i-0903ebe91b2fb54b8,eu-3.platform.sh,3.499917488737635e-06,5.475724881699974e-11
i-0fc06f96adc5c3ce4,eu-3.platform.sh,3.488636529869826e-06,5.4580754864326085e-11
i-04bd32bd69db48ef9,eu-2.platform.sh,3.4847163966632624e-06,5.4519423215771994e-11
i-09019587f440572bd,eu-3.platform.sh,3.4787656908604926e-06,5.442632265573664e-11
i-0a7013bc3d8091f50,eu-3.platform.sh,3.4759454511435414e-06,5.438219916756824e-11
i-05b586386f4303ce6,eu-3.platform.sh,3.467484731992685e-06,5.4249828703063e-11
i-0c0aa032fb1227e42,eu-2.platform.sh,3.466074612134208e-06,5.422776695897879e-11
i-0a76a213706c5a71a,eu-2.platform.sh,3.466074612134208e-06,5.422776695897879e-11
i-084dbf77cb9a0195a,eu-3.platform.sh,3.463254372417256e-06,5.4183643470810373e-11
i-0eece74f9bb09bb29,eu-3.platform.sh,3.4590240128418285e-06,5.411745823855776e-11
